USER_ID,CES_SCORE,CES_COMMENT,SURVEY_DATE,PLATFORM,SOURCE_TABLE,REGISTRATION_COUNTRY,FIRST_TRANSFER_DATE,FIRST_TRANSFER_AMOUNT_GBP,FIRST_TRANSFER_SOURCE_CURRENCY,FIRST_TRANSFER_AMOUNT_SOURCE,SEND_MONTH,SEND_COUNT,SEND_VALUE_GBP
54930690,4,,2026-04-11,IOS,MOBILE,IT,,,,,,,
59216258,7,,2026-05-16,WEB,WEB,FR,,,,,,,
60842800,7,,2026-05-20,WEB,WEB,LT,,,,,,,
61775882,7,,2026-04-08,WEB,WEB,BG,,,,,,,
61880466,4,,2026-04-21,WEB,WEB,MT,,,,,,,
69269715,7,,2026-04-21,IOS,MOBILE,HU,,,,,,,
69282423,7,,2026-05-11,ANDROID,MOBILE,NO,,,,,,,
70624140,6,,2026-04-06,ANDROID,MOBILE,FR,,,,,,,
71367909,7,,2026-04-02,WEB,WEB,ES,,,,,,,
72319027,4,,2026-04-29,ANDROID,MOBILE,PT,2026-04-29 15:28:59.535,17.33,EUR,20,2026-04-01,1,17.33
73789156,5,Lo estoy conociendo,2026-04-08,WEB,WEB,ES,,,,,,,
74557206,5,,2026-04-12,WEB,WEB,ES,,,,,,,
76163077,7,,2026-03-30,IOS,MOBILE,FR,,,,,,,
77384256,7,,2026-04-17,IOS,MOBILE,NO,,,,,,,
78315509,6,,2026-01-13,ANDROID,MOBILE,FR,,,,,,,
78625126,6,,2026-04-17,WEB,WEB,FR,,,,,,,
79682026,7,,2026-04-03,IOS,MOBILE,FR,,,,,,,
79887957,7,,2026-02-15,IOS,MOBILE,DE,2026-03-03 18:28:05.337,28.7,EUR,33,2026-03-01,2,40.7
79887957,7,,2026-02-15,IOS,MOBILE,DE,2026-03-03 18:28:05.337,28.7,EUR,33,2026-04-01,2,138.92
79887957,7,,2026-02-15,IOS,MOBILE,DE,2026-03-03 18:28:05.337,28.7,EUR,33,2026-05-01,2,17.26
80838309,6,,2026-02-21,IOS,MOBILE,CZ,,,,,,,
80920159,2,Nil,2025-12-26,IOS,MOBILE,IE,,,,,,,
80951528,5,,2026-01-28,ANDROID,MOBILE,AO,,,,,,,
82635673,1,Didnt let me selfie,2026-03-15,WEB,WEB,DE,2026-03-17 12:27:57.032,233.24,EUR,270,2026-03-01,1,233.24
83325870,6,,2026-05-10,WEB,WEB,DE,,,,,,,
83514628,7,سهل جدا,2026-04-13,WEB,WEB,IT,,,,,,,
84246073,4,,2025-12-17,IOS,MOBILE,PL,,,,,,,
85686853,5,,2026-05-13,WEB,WEB,HU,,,,,,,
86016479,7,Все хорошо ,2026-04-09,WEB,WEB,DE,,,,,,,
86601702,5,Mit dem Selfi hat es länger gedauert ,2026-02-08,ANDROID,MOBILE,DE,2026-02-10 02:40:29.382,8.72,EUR,10,2026-02-01,7,243.39
86601702,5,Mit dem Selfi hat es länger gedauert ,2026-02-08,ANDROID,MOBILE,DE,2026-02-10 02:40:29.382,8.72,EUR,10,2026-03-01,6,1152.16
86601702,5,Mit dem Selfi hat es länger gedauert ,2026-02-08,ANDROID,MOBILE,DE,2026-02-10 02:40:29.382,8.72,EUR,10,2026-04-01,2,509.49
86601702,5,Mit dem Selfi hat es länger gedauert ,2026-02-08,ANDROID,MOBILE,DE,2026-02-10 02:40:29.382,8.72,EUR,10,2026-05-01,1,77.77
86922109,6,,2026-03-18,WEB,WEB,PT,,,,,,,
87185592,6,boa ,2026-03-31,ANDROID,MOBILE,BR,,,,,,,
87300241,6,,2026-04-25,WEB,WEB,US,,,,,,,
88167822,6,,2026-03-13,ANDROID,MOBILE,CY,,,,,,,
89101842,5,,2026-02-28,WEB,WEB,CZ,,,,,,,
89141282,7,,2026-01-13,ANDROID,MOBILE,GR,2026-01-13 15:19:12.888,0.87,EUR,1,2026-01-01,6,34.7
89141282,7,,2026-01-13,ANDROID,MOBILE,GR,2026-01-13 15:19:12.888,0.87,EUR,1,2026-02-01,2,32.78
89141282,7,,2026-01-13,ANDROID,MOBILE,GR,2026-01-13 15:19:12.888,0.87,EUR,1,2026-03-01,1,8.7
89141282,7,,2026-01-13,ANDROID,MOBILE,GR,2026-01-13 15:19:12.888,0.87,EUR,1,2026-05-01,1,0.44
89258027,7,a fost usor,2026-01-09,ANDROID,MOBILE,RO,,,,,,,
89263563,7,,2025-10-28,MOBILE_WEB,MOBILE,FR,,,,,,,
90236731,5,,2026-02-22,WEB,WEB,ES,,,,,,,
90280444,7,,2026-05-20,WEB,WEB,DE,,,,,,,
90682918,6,,2026-03-01,WEB,WEB,ES,2026-03-04 12:59:59.306,1946.3,USD,2602,2026-03-01,1,1946.3
90743405,7,This is very good opportunity  i like this ,2026-03-18,WEB,WEB,DE,2026-05-03 18:49:45.520,30.22,EUR,35,2026-05-01,3,335.37
91092176,7,,2025-12-19,ANDROID,MOBILE,GR,,,,,,,
91423106,4,,2026-04-13,WEB,WEB,FR,,,,,,,
91495554,7,Потому что сделал это за пару минут,2026-01-08,ANDROID,MOBILE,FR,,,,,,,
91673599,3,,2026-02-05,IOS,MOBILE,IT,2026-02-05 12:14:54.448,475.46,CHF,500,2026-02-01,1,475.46
91673599,3,,2026-02-05,IOS,MOBILE,IT,2026-02-05 12:14:54.448,475.46,CHF,500,2026-03-01,3,9201.87
91673599,3,,2026-02-05,IOS,MOBILE,IT,2026-02-05 12:14:54.448,475.46,CHF,500,2026-05-01,1,380.91
91923004,4,,2025-12-06,ANDROID,MOBILE,PK,2026-04-20 22:13:19.171,99.06,DKK,850,2026-04-01,1,99.06
92045742,1,,2026-03-07,WEB,WEB,SI,,,,,,,
92133116,7,,2026-02-14,ANDROID,MOBILE,LT,,,,,,,
92304976,7,,2026-01-19,IOS,MOBILE,DZ,2026-05-04 12:11:26.357,51.85,EUR,60,2026-05-01,6,415.98
92497467,6,,2026-01-02,ANDROID,MOBILE,ES,2026-01-13 22:00:44.776,433.58,EUR,500,2026-01-01,3,815.05
92497467,6,,2026-01-02,ANDROID,MOBILE,ES,2026-01-13 22:00:44.776,433.58,EUR,500,2026-02-01,8,1023.22
92497467,6,,2026-01-02,ANDROID,MOBILE,ES,2026-01-13 22:00:44.776,433.58,EUR,500,2026-03-01,6,1682.87
92497467,6,,2026-01-02,ANDROID,MOBILE,ES,2026-01-13 22:00:44.776,433.58,EUR,500,2026-04-01,12,2237.9
92497467,6,,2026-01-02,ANDROID,MOBILE,ES,2026-01-13 22:00:44.776,433.58,EUR,500,2026-05-01,5,835
92623009,4,,2026-04-16,WEB,WEB,PT,2026-04-16 07:43:33.727,31.35,EUR,36,2026-04-01,2,270.89
92898717,2,,2026-05-05,WEB,WEB,ID,2026-05-06 00:54:34.575,73.47,EUR,85,2026-05-01,2,242.53
93083579,7,,2026-03-26,WEB,WEB,IE,,,,,,,
93166196,3,I I haven’t been able to complete my verification process,2026-01-19,IOS,MOBILE,FR,,,,,,,
93179094,7,,2026-02-27,ANDROID,MOBILE,DE,,,,,,,
93179344,7,,2026-03-20,WEB,WEB,ES,2026-03-21 16:45:48.479,6.07,EUR,7,2026-03-01,1,6.07
93179344,7,,2026-03-20,WEB,WEB,ES,2026-03-21 16:45:48.479,6.07,EUR,7,2026-04-01,1,6.1
93259831,7,Yes,2026-02-03,IOS,MOBILE,PT,,,,,,,
93263885,1,,2026-03-14,WEB,WEB,PY,,,,,,,
93339401,6,,2026-03-17,ANDROID,MOBILE,FR,,,,,,,
93393517,5,Tirar selfie é muito complicado.,2026-04-04,ANDROID,MOBILE,PT,,,,,,,
93417744,7,,2026-05-18,IOS,MOBILE,IT,,,,,,,
93717749,6,,2026-02-01,IOS,MOBILE,DE,2026-02-14 17:00:54.493,26.08,EUR,30,2026-02-01,1,26.08
93717749,6,,2026-02-01,IOS,MOBILE,DE,2026-02-14 17:00:54.493,26.08,EUR,30,2026-03-01,1,276.29
93717749,6,,2026-02-01,IOS,MOBILE,DE,2026-02-14 17:00:54.493,26.08,EUR,30,2026-04-01,3,813.28
93717749,6,,2026-02-01,IOS,MOBILE,DE,2026-02-14 17:00:54.493,26.08,EUR,30,2026-05-01,2,34.9
93744928,7,,2026-01-24,ANDROID,MOBILE,ES,2026-01-24 23:00:31.817,8.67,EUR,10,2026-01-01,3,26.03
93838542,6,,2026-04-22,IOS,MOBILE,IT,2026-05-04 10:14:59.477,8.64,EUR,10,2026-05-01,1,8.64
93947442,7,,2026-02-11,WEB,WEB,FR,2026-05-06 16:04:13.032,4.41,EUR,5.1,2026-05-01,2,47.63
94372229,5,Selfi miatt.,2026-03-05,WEB,WEB,HU,2026-04-14 19:33:26.944,53.43,USD,72.53,2026-04-01,4,270.86
94384908,7,,2026-01-24,IOS,MOBILE,FR,2026-02-23 00:13:24.877,684.13,EUR,782.89,2026-02-01,1,684.13
94384908,7,,2026-01-24,IOS,MOBILE,FR,2026-02-23 00:13:24.877,684.13,EUR,782.89,2026-03-01,1,146.61
94384908,7,,2026-01-24,IOS,MOBILE,FR,2026-02-23 00:13:24.877,684.13,EUR,782.89,2026-04-01,2,7.65
94542484,1,it's easy,2026-01-12,ANDROID,MOBILE,NL,,,,,,,
94599072,7,,2026-04-06,WEB,WEB,CY,2026-04-25 10:05:39.436,17.32,EUR,20,2026-04-01,1,17.32
